"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dnajc9",1.96979157279976e-06,1.68199968107906,0.564,0.196,0.0379184877763955,"3","Dnajc9"
"Dbf4",2.01989705005651e-06,2.635422054922,0.308,0.056,0.0388830182135879,"3","Dbf4"
"Spc25",2.03518396225189e-06,2.5490754222283,0.333,0.067,0.0391772912733489,"3","Spc25"
"Tubg1",2.17572382767157e-06,2.04612765120312,0.41,0.101,0.0418826836826777,"3","Tubg1"
"Fxn",2.1912829047502e-06,2.41688374273414,0.359,0.078,0.0421821959164413,"3","Fxn"
"Syce2",2.24441421788456e-06,1.64272734604502,0.538,0.19,0.0432049736942777,"3","Syce2"
"Cdca4",2.3012653616167e-06,1.8772203516443,0.385,0.084,0.0442993582111214,"3","Cdca4"
"Mcm4",2.53333629955456e-06,1.79772706075178,0.462,0.128,0.0487667237664254,"3","Mcm4"
"Usp1",2.55102021802827e-06,1.85473584956385,0.436,0.112,0.0491071391970443,"3","Usp1"
"Nmral1",2.81560003610644e-06,1.70788344460037,0.59,0.196,0.054200300695049,"3","Nmral1"
"Atad2",2.8420000893792e-06,2.13749517360916,0.359,0.078,0.0547085017205496,"3","Atad2"
"Nup43",3.43049576240504e-06,1.87652509763725,0.41,0.101,0.066037043426297,"3","Nup43"
"Impdh2",3.68392542513767e-06,1.29298164468013,0.718,0.419,0.0709155644339001,"3","Impdh2"
"Csrp1",5.02190017003288e-06,1.58635696409868,0.538,0.179,0.0966715782731329,"3","Csrp1"
"Mfsd10",5.02610687944958e-06,1.30827728111535,0.667,0.257,0.0967525574294043,"3","Mfsd10"
"Hn1l",5.4616131987738e-06,1.31981166440774,0.59,0.19,0.105136054076396,"3","Hn1l"
"Mcm2",6.79954186941792e-06,1.53047188138339,0.487,0.145,0.130891180986295,"3","Mcm2"
"Tdp2",6.80676343124977e-06,1.91280807089366,0.462,0.134,0.131030196051558,"3","Tdp2"
"Cbx5",6.80708006718554e-06,1.36549897114386,0.487,0.14,0.131036291293322,"3","Cbx5"
"Bri3bp",7.39473827960716e-06,2.28455291191369,0.308,0.061,0.142348711882438,"3","Bri3bp"
"Hmgn5",7.43030985740267e-06,1.85250521102262,0.359,0.084,0.143033464755001,"3","Hmgn5"
"Dhfr",7.47726998530429e-06,2.30298543857485,0.333,0.073,0.143937447217108,"3","Dhfr"
"Ssrp1",7.49921337802577e-06,1.12092235158479,0.769,0.436,0.144359857526996,"3","Ssrp1"
"Ppil1",7.6129202847842e-06,1.59821671049196,0.513,0.168,0.146548715482096,"3","Ppil1"
"Lbr",1.10581008230614e-05,1.64415076071602,0.462,0.14,0.212868440843933,"3","Lbr"
"Tubb4b",1.11048844411927e-05,1.51940088508267,0.667,0.33,0.213769025492959,"3","Tubb4b"
"Rif1",1.12228920084387e-05,1.81931051462783,0.385,0.095,0.216040671162444,"3","Rif1"
"Rfc1",1.17332740914765e-05,1.25556489391952,0.59,0.207,0.225865526260923,"3","Rfc1"
"Mum1",1.18278723810372e-05,1.9771519972485,0.282,0.05,0.227686543334966,"3","Mum1"
"Cnot6",1.34216863631499e-05,1.51877452206925,0.462,0.134,0.258367462490636,"3","Cnot6"
"Mrpl3",1.39430258188665e-05,1.1581353011701,0.769,0.352,0.26840324701318,"3","Mrpl3"
"Pttg1",1.41563077784376e-05,1.94740700169251,0.462,0.151,0.272508924734924,"3","Pttg1"
"Smc6",1.44708913451598e-05,1.30187502566873,0.667,0.285,0.278564658394326,"3","Smc6"
"Dctpp1",1.59309313599347e-05,1.06449701515878,0.821,0.542,0.306670428678744,"3","Dctpp1"
"X2700094K13Rik",1.656017450025e-05,1.00296929947182,0.795,0.503,0.318783359129813,"3","X2700094K13Rik"
"Stmn1",1.70189357087494e-05,2.19374523143651,0.462,0.179,0.327614512393425,"3","Stmn1"
"Apitd1",1.71893270494907e-05,1.74753498556112,0.436,0.134,0.330894545702697,"3","Apitd1"
"Ctdspl2",1.90659558183241e-05,1.81053664047392,0.333,0.073,0.367019649502738,"3","Ctdspl2"
"Nasp",2.16448712688962e-05,1.32219195056748,0.641,0.274,0.416663771926253,"3","Nasp"
"Cmc2",2.19844648108891e-05,1.43020807858275,0.564,0.207,0.423200947609616,"3","Cmc2"
"Ncaph",2.26296860117478e-05,1.79042807210158,0.385,0.106,0.435621455726145,"3","Ncaph"
"Nop58",2.35176066832539e-05,1.49621438956805,0.564,0.229,0.452713928652637,"3","Nop58"
"Ly6e",2.41641744778817e-05,1.20688520106738,0.692,0.352,0.465160358699222,"3","Ly6e"
"Dhodh",2.47175733376126e-05,2.14818315784615,0.256,0.045,0.475813286749043,"3","Dhodh"
"Cxcl10",2.47537320707472e-05,1.91923797042046,0.385,0.112,0.476509342361883,"3","Cxcl10"
"Tagln2",2.61660917052177e-05,1.55588501872487,0.615,0.313,0.503697265325442,"3","Tagln2"
"Mrpl21",2.80716647967965e-05,1.26760764151013,0.718,0.369,0.540379547338332,"3","Mrpl21"
"Ccdc34",2.83085821875512e-05,1.40586205774491,0.641,0.307,0.54494020711036,"3","Ccdc34"
"Snrpa1",3.13515509714685e-05,1.12115890240969,0.692,0.335,0.60351735620077,"3","Snrpa1"
"Pelo",3.29869892701778e-05,1.65177373791026,0.333,0.078,0.634999543450924,"3","Pelo"
"Bhlhb9",3.35392763876699e-05,1.95369438312106,0.308,0.067,0.645631070462645,"3","Bhlhb9"
"Dazap1",3.49032241583599e-05,1.05154312889313,0.769,0.425,0.671887065048428,"3","Dazap1"
"Anp32e",3.67831816656259e-05,1.04292568669926,0.718,0.436,0.708076247063298,"3","Anp32e"
"Hmgn2",4.09878222813127e-05,1.74891386419253,0.462,0.173,0.789015578915269,"3","Hmgn2"
"Cenpw",4.28154027373751e-05,2.01195289083163,0.333,0.089,0.82419650269447,"3","Cenpw"
"Gpn3",4.83065775196325e-05,1.39216334160417,0.333,0.078,0.929901617252926,"3","Gpn3"
"Dkc1",4.92361877638355e-05,1.74839377720564,0.385,0.112,0.947796614453833,"3","Dkc1"
"Mthfd1",5.2477253896712e-05,1.36180814442778,0.359,0.089,1,"3","Mthfd1"
"Rpe",5.27740571602263e-05,2.58171514154914,0.256,0.05,1,"3","Rpe"
"Htatsf1",5.54307343201167e-05,1.39207523074421,0.436,0.134,1,"3","Htatsf1"
"Ppil4",5.62287926051796e-05,1.21214979994151,0.59,0.212,1,"3","Ppil4"
"Bub3",5.8365425021903e-05,1.10404260505213,0.744,0.425,1,"3","Bub3"
